views/60d  langs   ngram  letters  status   title
---------  -----  ------  -------  -------  ----------------------------------------
  364,605     64               15  kept     Once Upon a Time in Hollywood
  364,131    163                9  kept     J. R. R. Tolkien
  363,311     64               10  kept     Wuthering Heights
  363,257    148                5  kept     Star Wars
  362,919     99                7  kept     Elton John
  361,164    248                7  kept     Philosophy
  359,924     66               11  kept     Rick and Morty
  359,080     97                7  kept     Tina Turner
  349,741    152               12  kept     Ernest Hemingway
  349,492    112                9  kept     George Lucas
  348,593    111                7  kept     Linkin Park
  348,584     60                8  kept     Dune (2021 film)
  347,852    149                7  kept     Lana Del Rey
  345,410    135                8  kept     Bob Marley
  345,401     84               10  kept     Stevie Wonder
  345,173    173                9  kept     Frida Kahlo
  344,420    101               10  kept     Kurt Cobain
  342,947     82               11  kept     Joaquin Phoenix
  342,048    104                8  kept     John Wayne
  340,794    100                9  kept     The Godfather
  340,333     70               12  kept     No Country for Old Men
  339,719     63               10  kept     Bayeux Tapestry
  339,056     61                7  kept     Willie Nelson
  337,821    115                9  kept     Stephen King
  337,285     87                9  kept     David Lynch
  334,466     84                9  kept     Trojan Horse
  333,872     80                7  REMOVED  Diana Ross
  331,779     51               14  kept     The Devil Wears Prada (film)
  331,358     56                4  kept     IMAX
  329,836    231               15  kept     Wolfgang Amadeus Mozart
  329,491    111                7  kept     Led Zeppelin
  329,393     45               14  kept     Top Gun: Maverick
  328,565     95                8  kept     Paul Newman
  328,427     80               11  kept     A Song of Ice and Fire
  328,204     74                8  kept     Spice Girls
  326,958    103                9  kept     James Cameron
  326,610     69               10  kept     Grey's Anatomy
  326,469    102                9  kept     Jodie Foster
  326,180    136               13  kept     Stanley Kubrick
  325,161     39                6  kept     Doctor Doom
  323,166    111                8  kept     Woody Allen
  322,796    112                9  kept     Pink Floyd
  321,144    217               10  kept     Vincent van Gogh
  318,983     83                9  kept     Avengers: Endgame
  316,649     54                9  kept     Gone Girl (film)
  316,386     86               14  kept     The Shawshank Redemption
  315,707    103                8  kept     Grace Kelly
  313,364     71                9  kept     Batman Begins
  311,933     96                3  kept     AC/DC
  311,767     48                9  kept     Jordan Peele
  310,584    117                5  kept     Athena
  309,564    149                9  kept     The Simpsons
  309,260     89               10  kept     Gladiator (2000 film)
  309,163     61                9  kept     Paul Simon
  309,005     88                6  kept     Roald Dahl
  308,920    215                6  kept     Karl Marx
  306,966    120                8  kept     Titanic (1997 film)
  304,525     93               11  kept     Dustin Hoffman
  304,121     52                9  kept     Twin Peaks
  303,986    146                8  kept     Jackie Chan
  303,721     64               12  kept     The Count of Monte Cristo
  303,477     85               10  kept     Eric Clapton
  301,865    113                8  kept     Mariah Carey
