views/60d  langs   ngram  letters  status   title
---------  -----  ------  -------  -------  ----------------------------------------
   81,207     92                4  kept     Osiris
   81,138     84                8  kept     René Magritte
   81,112     60                6  kept     Nintendo 64
   81,102     58                6  kept     Sauron
   81,083    166               12  kept     Gabriel García Márquez
   81,043     60                6  kept     El Dorado
   81,018     66               10  kept     Trevi Fountain
   80,994     52                7  kept     Vaudeville
   80,967    149               10  kept     Jorge Luis Borges
   80,866     32               13  kept     Walter White (Breaking Bad)
   80,758     60               10  kept     Hercule Poirot
   80,749    101               11  kept     Emily Dickinson
   80,731     87               12  kept     Hieronymus Bosch
   80,686     62               13  kept     It's a Wonderful Life
   80,548     50               10  kept     American Idol
   80,545     66                4  kept     Popeye
   80,512    160                9  kept     Pythagoras
   80,438     38                6  kept     Mothman
   80,436     56               11  kept     Genshin Impact
   80,423     56               14  kept     All Quiet on the Western Front
   80,305    142               12  kept     Georg Wilhelm Friedrich Hegel
   80,194     56               10  kept     Markus Persson
   80,139     50                9  kept     Furry fandom
   80,090    151                3  kept     Jazz
   80,075     92                9  kept     Herman Melville
   80,072     85               10  kept     Country music
   79,990     40               11  kept     Jon Snow (character)
   79,947     55               10  kept     Halloween (1978 film)
   79,935     44               11  REMOVED  Cleopatra (1963 film)
   79,902     48                7  kept     Palpatine
   79,813     48                6  REMOVED  Nomadland
   79,796    139                6  REMOVED  Ice cream
   79,705     60                8  kept     Day of the Dead
   79,443     52               17  kept     Nausicaä of the Valley of the Wind (film)
   79,390     48               10  kept     Norman Rockwell
   79,297     64               18  kept     Adventures of Huckleberry Finn
   79,150     69                8  REMOVED  Billy Wilder
   79,007     67                6  kept     Edo period
   78,946     31                9  kept     Ratchet & Clank
   78,822     49               12  kept     Night of the Living Dead
   78,795     71                5  kept     Pac-Man
   78,758     40               13  kept     Resident Evil (1996 video game)
   78,732    119                9  kept     Francis Bacon
   78,729     56                5  kept     Capcom
   78,727    102                9  kept     Cuneiform
   78,688     53               10  kept     Mission: Impossible (film)
   78,677     58                6  kept     The Tempest
   78,664     72                8  kept     Palme d'Or
   78,644     59                7  kept     Alan Moore
   78,499     36               13  kept     Magneto (Marvel Comics)
   78,487     58               11  kept     The Silmarillion
   78,458     61               13  kept     Super Nintendo Entertainment System
   78,454     98                9  kept     Latin alphabet
   78,375     43                5  kept     Neo-noir
   78,353    106                7  kept     Doraemon
   78,243    164               10  kept     Jean-Jacques Rousseau
   78,230     60                8  REMOVED  Jack Kirby
   78,125     94                2  REMOVED  Isis
   78,066    110                8  kept     Science fiction
   78,064     59                3  kept     Emo
   78,047     56               12  REMOVED  Fantastic Mr. Fox (film)
   77,993     53                8  kept     Doom (1993 video game)
   77,969     83               11  kept     Brooklyn Bridge
   77,902     61                7  kept     Swan Lake
   77,732    102                4  kept     Thor
   77,708     56               14  kept     The Nightmare Before Christmas
   77,573     43                7  kept     True Lies
   77,502     90                5  kept     Horus
   77,475     90               11  kept     Temple of Artemis
   77,411     73                5  kept     Jason
   77,399     89               10  REMOVED  Ella Fitzgerald
   77,253     53               11  kept     Mrs. Doubtfire
   77,232     60                7  REMOVED  Glenn Miller
   77,196     34                8  kept     Homunculus
   77,065    152                8  kept     Antonio Vivaldi
   77,055     71               10  kept     The King's Speech
   77,002    189                7  kept     Alphabet
   76,991     70               10  kept     Gravity (2013 film)
   76,990     83                9  kept     Bram Stoker
   76,966    122                4  kept     Hip-hop
   76,921     98                8  kept     Jack London
   76,804     29               11  kept     The Daily Show
   76,600     55               10  kept     New wave music
   76,596     72                6  kept     Icarus
   76,499     66                8  kept     Vitruvian Man
   76,381    180               13  kept     Alexander Pushkin
   76,370     73                9  kept     Beatrix Potter
   76,347     56               10  kept     William Gibson
   76,318     56               11  kept     Brutalist architecture
   76,309     55                8  kept     Steven Universe
   76,287     80                7  kept     Asterix
   76,271     56                7  kept     Chupacabra
   76,151     49                8  kept     Watchmen
   76,111     92               12  kept     Ralph Waldo Emerson
   75,944     60                7  kept     Game Boy
   75,938     42                8  kept     Gremlins
   75,910    113                7  kept     W. B. Yeats
   75,897      7                6  REMOVED  Elle Woods
   75,868     86                5  kept     Hanuman
   75,867     61               11  kept     The Master and Margarita
   75,745     58                9  kept     Domesday Book
   75,702     65               14  kept     The Bridge on the River Kwai
   75,597     55                9  kept     Downfall (2004 film)
   75,576     42                6  kept     Hey Jude
   75,571     50                9  kept     Square Enix
   75,568     46               16  kept     Knights of the Round Table
   75,412     95               11  kept     Sydney Opera House
   75,269     49               10  REMOVED  Damien Chazelle
   75,257     79                8  kept     Fantasia (1940 film)
   75,187     70               11  kept     Leonard Bernstein
   75,086     58               11  kept     Spartacus (film)
   75,068    221                5  REMOVED  Sport
   74,957     60                6  kept     Basilisk
   74,836     69                9  kept     Teotihuacan
   74,810     54                5  kept     Aragorn
   74,727     88               12  kept     Phoenix (mythology)
   74,698     44               11  kept     Hotel California
   74,632     41                7  kept     The Muppets
   74,619     57                9  kept     The Flintstones
   74,566     63                7  kept     GameCube
   74,563     40                6  kept     Big (film)
   74,511     52               15  kept     Sunset Boulevard (film)
   74,490    132                4  REMOVED  Judo
   74,488     84                9  REMOVED  Golden Temple
   74,472     57                6  kept     Sega Genesis
   74,435     46                8  REMOVED  Led Zeppelin IV
   74,353    132               11  kept     Friedrich Engels
   74,273     41               12  kept     Pulitzer Prize for Fiction
   74,271     65               12  kept     The Canterbury Tales
   74,267     34                7  kept     The Stand
   74,145     47                7  kept     Kitsune
   74,041     52               10  REMOVED  Master of Puppets
   74,027     64                8  REMOVED  Wim Wenders
   74,026     85                8  REMOVED  Georgia O'Keeffe
   73,931    155                9  kept     Old Testament
   73,898    100               12  kept     Seneca the Younger
   73,887     54               13  kept     Groundhog Day (film)
   73,825     85               14  kept     The Jungle Book (1967 film)
   73,814     41               11  kept     Id, ego and superego
   73,788     86                5  kept     Zaha Hadid
   73,766     98                8  kept     Meditation
   73,736     69                8  kept     Akira Toriyama
   73,589     63                7  kept     Mark Rothko
   73,581     92                8  kept     Emmy Awards
   73,562     29               13  kept     Hallelujah (Leonard Cohen song)
   73,517     69                8  kept     Karl Lagerfeld
   73,480     74                6  kept     M. C. Escher
   73,465     54                8  REMOVED  Wong Kar-wai
   73,457     71                5  kept     Grunge
   73,369     48               12  REMOVED  Lady with an Ermine
   73,369    118               10  kept     Martin Heidegger
   73,334     31               11  kept     Dragon Quest
   73,207     53                5  kept     Kraken
   73,191     20               10  REMOVED  Jack Ryan (character)
   73,157     55               12  kept     Pietà (Michelangelo)
   73,132     28                9  REMOVED  Archer (2009 TV series)
   73,075     62               10  kept     Progressive rock
   73,055     53                8  REMOVED  Dreamcast
   73,013     35                9  kept     Jason Voorhees
   72,983     81                4  kept     Ninja
   72,927     43               12  REMOVED  Bethesda Softworks
   72,904     50               12  kept     Sony Interactive Entertainment
   72,898    211                8  kept     Television
   72,883    173                9  kept     Anton Chekhov
   72,881     48               12  REMOVED  Flatiron Building
   72,807     44               11  REMOVED  Friday the 13th (1980 film)
   72,781     79                9  REMOVED  D. H. Lawrence
   72,738     81                6  kept     Adam and Eve
   72,702     71               11  kept     Nike (mythology)
   72,690     46                9  kept     The Lego Movie
   72,671     82                5  kept     Taipei 101
   72,647     97                6  kept     Mermaid
   72,615    158                7  REMOVED  Chocolate
   72,564     52               11  kept     Cognitive dissonance
   72,479     79                6  kept     Iron Man
   72,464     74                2  kept     Meme
   72,461    143                9  kept     Book of Genesis
   72,409     51                7  kept     Memento mori
   72,339     81                5  kept     Fairy
   72,306     80               10  kept     The Old Man and the Sea
   72,147     47                6  kept     Das Boot
   72,118     15               10  kept     Life Is Strange
   72,108     36                9  kept     Hollow Knight
   72,103     29                9  kept     Hero's journey
   72,067     51               13  kept     In Search of Lost Time
   71,928     34               10  REMOVED  Animal House
   71,757     35               10  REMOVED  Fiddler on the Roof
   71,723     71               13  kept     Chrysler Building
   71,564     87                9  kept     Petronas Towers
   71,443     22               15  REMOVED  Sweeney Todd: The Demon Barber of Fleet Street
   71,390    146                6  kept     Diamond
   71,334     40               11  kept     God of War (2005 video game)
   71,326     49                5  kept     Gollum
   71,270     54                8  kept     Raging Bull
   71,127     68                7  kept     William Tell
   71,116     88                8  kept     Witchcraft
   71,049    110               10  kept     Samuel Beckett
   71,030     27               12  kept     Man's Search for Meaning
   70,906     66               11  kept     Wonder Woman (2017 film)
   70,742    111                5  kept     Sappho
   70,708     85                5  kept     Runes
   70,663     54                7  kept     Belle Époque
   70,428     85                5  kept     Demon
   70,385     67                9  kept     Angry Birds
   70,263    149                9  kept     Confucianism
   70,256     63               14  kept     The Hunchback of Notre-Dame
   70,240     78                9  kept     Gangnam Style
   70,208     48               13  REMOVED  Butch Cassidy and the Sundance Kid
   70,185     18                8  kept     Gothic fiction
   70,144     47               13  kept     The Ten Commandments (1956 film)
   70,113     53               12  REMOVED  Bildungsroman
   70,109     83                5  kept     Barbie
   70,100     61                5  kept     Midas
   70,014    145               10  kept     Geoffrey Chaucer
   69,971     38                7  kept     Silent Hill 2
   69,919     96                8  kept     Rubik's Cube
   69,900     54               10  REMOVED  Commedia dell'arte
   69,843     44                7  kept     It (novel)
   69,825     47               15  kept     The Legend of Zelda: Breath of the Wild
   69,771     73               10  kept     Robert A. Heinlein
   69,747     37               12  REMOVED  Chungking Express
   69,658     81               12  kept     Thomas & Friends
   69,626     83                8  kept     Art Nouveau
   69,596    117                8  REMOVED  Taekwondo
   69,585     61               16  kept     The Hobbit: An Unexpected Journey
   69,556     61               10  kept     Suzanne Collins
   69,508     85                9  kept     Tower Bridge
   69,492     31                9  REMOVED  Rebecca (novel)
   69,384     28                7  kept     Pennywise
   69,284    116                7  kept     Hermann Hesse
   69,210     54               15  kept     The Chronicles of Narnia: The Lion, the Witch and the Wardrobe
   69,108     74                7  kept     Asceticism
   69,063     47                6  kept     Betty Boop
   69,002     82               14  kept     Palace of Westminster
   69,000     51               11  kept     Spaghetti Western
   68,936     46               10  kept     Harley Quinn
   68,921     86                6  kept     Zombie
   68,866     43               12  kept     Much Ado About Nothing
   68,739     40               11  kept     The Myth of Sisyphus
   68,720     53                7  kept     The Thinker
   68,709     44               11  kept     American Gothic
   68,708    182                4  kept     Cheese
   68,701     56               12  kept     The Birth of Venus
   68,684     57               14  kept     The Wonderful Wizard of Oz
   68,553    103                9  kept     Franz Liszt
   68,521     39               11  kept     The Man in the High Castle
   68,471     84                5  kept     Bauhaus
   68,437     86                9  kept     Robinson Crusoe
   68,367     31                7  kept     Bloodborne
   68,351     77               12  kept     Sergei Rachmaninoff
   68,349     44                9  REMOVED  OK Computer
   68,348     27               10  kept     Kratos (God of War)
   68,324     30                9  kept     Camp (style)
   68,252     52                8  kept     The Kite Runner
   68,219     44                7  kept     Kintsugi
   68,175     78                4  kept     Moai
   68,169     78                8  kept     Printing press
   68,119     73                8  kept     King Lear
   68,098     89                2  REMOVED  Dada
   68,061     91                9  REMOVED  Ezra Pound
   68,061     56                9  REMOVED  On the Waterfront
   67,991     72                7  kept     Amaterasu
   67,931     76                6  kept     Set (deity)
   67,913    136                8  kept     Astrology
   67,901     55                6  kept     Solipsism
   67,899     45               11  kept     Juilliard School
   67,837     40               11  kept     His Dark Materials
   67,786     84                7  kept     Robert Frost
   67,645     43                9  kept     Enter the Dragon
   67,561     53               11  kept     Castle in the Sky
   67,489    114                7  kept     Paul Gauguin
   67,354     51                8  REMOVED  Chet Baker
   67,342     57               15  kept     How to Train Your Dragon (2010 film)
   67,339     73               10  kept     Romulus and Remus
   67,290     48               11  kept     A Clockwork Orange (novel)
   67,254     46                7  REMOVED  The Searchers
   67,249     19                7  REMOVED  Clue (film)
   67,204     55               10  REMOVED  Herbie Hancock
   67,147     52                9  kept     Excalibur
   67,143     51               10  REMOVED  Terms of Endearment
   67,065    128               11  kept     Hollywood, Los Angeles
   67,049     88                4  kept     Eros
   67,048    154                6  kept     Ethics
   67,036     77                8  kept     Sergio Leone
   66,814     77                9  kept     George Gershwin
   66,743     34               10  REMOVED  Exile on Main St.
   66,534     52                9  kept     Twelfth Night
   66,521     85               10  kept     Sistine Chapel
   66,471     50                8  kept     The Kiss (Klimt)
   66,464     73                5  kept     Ragnarök
   66,439     57                8  kept     Absurdism
   66,326     50                9  kept     Codex Gigas
   66,315     63               10  kept     Roman Holiday
   66,277     52                8  kept     The Supremes
   66,225     36                8  REMOVED  Y tu mamá también
   66,213     68                8  kept     Xbox (console)
   66,012     56                8  kept     Unreal Engine
   65,983    143                7  kept     Halloween
   65,938     85               13  REMOVED  Henri de Toulouse-Lautrec
   65,918     64               10  kept     A Christmas Carol
   65,891     65               11  kept     Half-Life (video game)
   65,875     42               10  kept     Stardew Valley
   65,756     37               13  kept     Nighthawks (Hopper)
   65,754     74               12  kept     United States Capitol
   65,598    108                8  kept     The Art of War
   65,491    119                5  kept     Vedas
   65,467     78                5  kept     Ramen
   65,323     57               12  kept     The Intouchables
   65,311     28                7  REMOVED  Beloved (novel)
   65,301     56                9  kept     Count Dracula
   65,280    106                5  kept     Ghost
   65,246     76               11  kept     Jean-Luc Godard
   65,243     14                8  kept     Dark Souls
   65,235     44                3  kept     Zorro
   65,166     61                6  kept     Soap opera
   65,156     71               13  kept     PUBG: Battlegrounds
   65,088     66                6  kept     Pan (god)
   65,086     94                6  kept     Hestia
   65,024     87                7  kept     Limerick
   64,928     46               11  kept     When Harry Met Sally...
   64,927     32                6  REMOVED  Footloose
   64,897     42                8  kept     Freddy Krueger
   64,860     55               10  kept     The Marriage of Figaro
   64,828    105               10  kept     Edvard Munch
   64,804     50               10  REMOVED  Barney & Friends
   64,796     29                9  kept     Nier: Automata
   64,794    134               11  kept     Conservatism
   64,765     64                6  kept     A. A. Milne
   64,656     74               10  kept     The Da Vinci Code
   64,622    163                7  kept     New Testament
   64,605     44               10  kept     Monkey D. Luffy
   64,525     75               10  kept     Gulliver's Travels
   64,525     83               13  kept     Metropolitan Museum of Art
   64,492     86                4  kept     Muses
   64,467     86                7  REMOVED  Ennio Morricone
   64,467    188               14  kept     Miguel de Cervantes
   64,352    123               11  kept     Toshiro Mifune
   64,270     68               10  kept     Venus de Milo
   64,208    100                5  kept     Diwali
   64,192     66                8  kept     Turing test
   64,131     40                8  kept     Lex Luthor
   64,129     93                7  kept     Lakshmi
   64,128     21                8  kept     Miss Moneypenny
   64,083     48               11  kept     Deus ex machina
   64,073     63                6  kept     Bugs Bunny
   64,024     58               12  kept     Uncle Tom's Cabin
   64,005     55                7  REMOVED  Linear B
   63,983     93                7  kept     Noah's Ark
   63,934     38               11  kept     Paddington Bear
   63,907     93                8  kept     Rock and roll
   63,894     66                7  kept     YouTuber
   63,798     36               11  kept     Crash Bandicoot
   63,723     32                9  kept     My Little Pony
   63,713     23                5  kept     Selkie
   63,644     93                8  kept     Pulitzer Prize
   63,559     14               10  REMOVED  Do not go gentle into that good night
   63,540     32               10  kept     Bane (DC Comics)
   63,537     16                9  kept     The Last of Us
   63,531     34                8  kept     I Love Lucy
   63,512     74               10  kept     Little Red Riding Hood
   63,455     47                5  REMOVED  John Woo
   63,355     45                4  kept     Yōkai
   63,348    157                9  kept     Henri Matisse
   63,185     71                8  kept     Valkyrie
   63,170     49               12  kept     Siddhartha (novel)
   63,149     79                8  kept     The Prince
   63,101    112                8  REMOVED  David Hume
   63,101    151                5  kept     Piano
   63,064     44                7  REMOVED  Back in Black
   63,010     42               10  kept     Venom (character)
   62,988     50                6  kept     Thanos
   62,972    108                8  kept     Epic poetry
   62,892     17               10  kept     Final Fantasy XIV
   62,865     85                9  REMOVED  Enid Blyton
   62,853    162                6  kept     Avicenna
   62,779     62               11  kept     David Copperfield
   62,736     66                4  kept     Druid
   62,675     27               10  REMOVED  Evita (musical)
   62,639    168                6  kept     Feminism
   62,529     94                6  kept     Unicorn
   62,522     51                9  kept     Bohemianism
   62,520     39               13  REMOVED  The Remains of the Day
   62,515     58               11  REMOVED  For Whom the Bell Tolls
   62,445     29                8  kept     Rocky Balboa
   62,388     60               10  REMOVED  Dylan Thomas
   62,327     82                4  kept     Yeti
   62,294     56               11  kept     The Birds (film)
   62,279     37                7  REMOVED  Oresteia
   62,225     57                6  kept     Deepfake
   62,206     52               11  kept     Goth subculture
   62,190    106                4  kept     Bambi
   62,189     52               11  kept     Mojang Studios
   62,186     35                8  REMOVED  Malcolm X (1992 film)
   62,141     96               11  kept     William Wordsworth
   62,086     54                7  kept     Catwoman
   62,076     57                7  REMOVED  Kramer vs. Kramer
   61,969     32                8  kept     Xenomorph
   61,966     29                7  REMOVED  Paul Bunyan
   61,906     94                3  kept     Psy
   61,789     30               14  kept     Wile E. Coyote and the Road Runner
   61,756     76                9  REMOVED  Henry James
   61,754    105                6  REMOVED  Erasmus
   61,735     91               11  kept     Joseph Conrad
   61,725     35                9  kept     Chrono Trigger
   61,638    236                8  kept     Christmas
   61,587     79                8  kept     Avant-garde
   61,543     98                9  kept     Saint Nicholas
   61,528     96                9  kept     John Keats
   61,469     51               13  kept     Charlie and the Chocolate Factory
   61,415    116                7  kept     Santa Claus
   61,403     86               10  kept     Dome of the Rock
   61,345     74                3  kept     Thoth
   61,335     59               10  kept     The Satanic Verses
   61,299     87                5  kept     Poker
   61,275     23                5  kept     Rayman
   61,273     62                4  kept     Paella
   61,264     68               10  kept     Peter Pan (1953 film)
   61,262     38                9  kept     Carrie (novel)
   61,255     57                5  kept     Hermès
   61,232     50                8  kept     The Time Machine
   61,224     32               12  kept     Fallout: New Vegas
   61,190     45                5  kept     Deadmau5
   61,145     33                9  REMOVED  Flashdance
   61,136     49               10  kept     San Diego Comic-Con
   61,118     55                6  kept     Kitsch
   61,094     84                5  REMOVED  B. B. King
   61,032     56                9  kept     The Third Man
   60,914    107                9  REMOVED  Kahlil Gibran
   60,886     74                9  kept     Oliver Twist
   60,877    103                8  kept     Surrealism
   60,868     46                9  kept     Amazing Grace
   60,861     85               12  REMOVED  Code of Hammurabi
   60,781    127                5  kept     Pharaoh
   60,750     92                9  kept     Pinocchio (1940 film)
   60,744     82                5  kept     Griffin
   60,683     52                9  kept     Lincoln Memorial
   60,608     45               11  REMOVED  The Conversation
   60,594     51                6  kept     Tic-tac-toe
   60,525     72                8  kept     Comedian
   60,465     55                7  kept     Peanuts
   60,335     29               11  REMOVED  Johnny Appleseed
   60,329    131                5  kept     Angel
   60,312     51                7  kept     Book of Kells
   60,299     44                9  kept     Transformers
   60,288     48                7  kept     BioShock
   60,276     87               13  kept     One Hundred and One Dalmatians
   60,152     40               12  REMOVED  Bully (video game)
   60,134     55                8  kept     The Seventh Seal
   60,050     81               13  kept     Rhythm and blues
   60,041    130                8  kept     Eid al-Fitr
   60,001     35                7  REMOVED  Amores perros
   59,928    144                9  kept     Chinese characters
   59,892     82                9  kept     Pedro Almodóvar
   59,831     55                8  kept     Jörmungandr
   59,787    117               13  kept     Antoine de Saint-Exupéry
   59,764    215                6  kept     Culture
   59,678    102                8  kept     Impressionism
   59,676     13               12  kept     Mister Rogers' Neighborhood
   59,619     81               14  kept     Sleeping Beauty (1959 film)
   59,541     26                7  REMOVED  Miss Saigon
   59,462    112                7  kept     Consciousness
   59,436     67                8  kept     Holy Grail
   59,413    109                5  kept     Camera
   59,340     82               14  kept     Great Sphinx of Giza
   59,316     30                9  REMOVED  Hair (musical)
   59,142     43               12  kept     Fifty Shades of Grey
   59,117    111                6  kept     Castle
   59,093     81                7  kept     Minerva
   59,019     42                9  kept     Chinese room
   59,013     54               12  kept     Assassin's Creed (video game)
   58,956    132                9  kept     Federico Fellini
   58,901    109               10  kept     Johannes Vermeer
   58,885     70                9  kept     Charlie Parker
   58,882     92               11  kept     Creative Commons
   58,868     91                9  kept     Thomas Hardy
   58,769    211                8  kept     Linguistics
   58,688     58               10  REMOVED  Fallingwater
   58,686    120               14  kept     Aleksandr Solzhenitsyn
   58,669     71               12  kept     Chimera (mythology)
   58,662     37               10  kept     Jabberwocky
   58,573     66                8  kept     House music
   58,559     44                9  kept     Mephistopheles
   58,442     53                6  kept     Für Elise
   58,397    131               11  REMOVED  Gustav Mahler
   58,397     55               10  REMOVED  Muddy Waters
   58,394     73                4  kept     Gucci
   58,394    106                8  kept     John Milton
   58,387    136                8  REMOVED  Blaise Pascal
   58,357     32               13  kept     Michael Myers (Halloween)
   58,354     47               11  kept     The Sun Also Rises
   58,353     64                6  kept     Gandalf
   58,329     35                4  kept     Ed, Edd n Eddy
   58,304     42                9  kept     Vito Corleone
   58,288     78                8  kept     Garden of Eden
   58,284     83                9  kept     Brandenburg Gate
   58,264     54               13  kept     Electronic dance music
   58,255     24               10  REMOVED  Purple Rain (album)
   58,248     22               10  kept     Cult following
   58,223     23                9  kept     The Crucible
   58,213    107                9  REMOVED  Compact disc
   58,184     33                9  kept     Final Fantasy VI
   58,164     81               10  kept     Gothic architecture
   58,157    130                6  kept     Animation
   58,124     87                5  kept     Album
   58,088     71                5  kept     Tartarus
   58,078     41                8  kept     Rickrolling
   58,076     47                9  REMOVED  Frank Miller
   58,043     75               10  kept     Duke Ellington
   58,037     73               14  kept     The Diary of a Young Girl
   57,978     44                5  kept     Snoopy
   57,964     40                9  REMOVED  Finnegans Wake
   57,939     38                4  kept     Mad Max 2
   57,913     35               10  kept     Flow (psychology)
   57,837     70               10  kept     Albus Dumbledore
   57,786     26               10  kept     EarthBound
   57,741     53                6  REMOVED  Commodore 64
   57,720     17                9  kept     Haitian Vodou
   57,651     83                9  REMOVED  François Truffaut
   57,546     21                9  kept     Monster Hunter
   57,477     58                5  kept     Tai chi
   57,472     33                8  kept     Pet Sematary
   57,413     33                8  REMOVED  Hays Code
   57,395     75                3  kept     Saṃsāra
   57,334     45                5  kept     Avalon
   57,265     43                9  REMOVED  The Hunt (2012 film)
   57,229     57                6  kept     The Idiot
   57,166     82                6  kept     Cerberus
   57,103     38                7  kept     Cuphead
   57,047    104                9  kept     The Little Mermaid
   57,042     39                5  kept     Wabi-sabi
   57,034     74               11  REMOVED  Milan Cathedral
   56,959     13                9  kept     The Price Is Right
   56,889     44                9  kept     Lethal Weapon
   56,865     48               10  kept     Objectivism
   56,746     36                9  REMOVED  Anish Kapoor
   56,583     66                3  kept     Ska
   56,526     27                9  kept     West End theatre
   56,503     89                6  kept     Satire
   56,469     34               11  REMOVED  Like a Prayer (album)
   56,461     38               11  kept     Things Fall Apart
   56,440     68                4  kept     Ankh
   56,368     39                9  kept     John Carmack
   56,357     42                7  kept     Two-Face
   56,337    217                3  kept     Tea
   56,334     58                5  kept     Moirai
   56,313     52               10  kept     Public Enemy
   56,305     57                7  kept     Post-punk
   56,270     74                5  kept     Bastet
   56,236    113                7  kept     Humanism
   56,163     12                8  kept     Apollo Creed
   56,163     67                9  kept     Smithsonian Institution
   56,097    193                3  kept     Beer
   56,089     84               12  kept     Dmitri Shostakovich
   56,066    117                7  kept     Baroque
   56,018     40               14  kept     Battlefield (video game series)
   55,969     28                9  kept     Gwen Stacy
   55,968     43                9  kept     Meditations
   55,915     55                9  REMOVED  Vivienne Westwood
   55,895     41                8  REMOVED  Satoshi Kon
   55,885     65                7  REMOVED  E. M. Forster
   55,855     38                9  kept     Flappy Bird
   55,809     34                7  kept     L.A. Noire
   55,795     57                8  kept     Activision
   55,755     30               12  REMOVED  Cyrano de Bergerac (play)
   55,749     32               11  REMOVED  Sistine Chapel ceiling
   55,743     36                5  kept     Dim sum
   55,726     30               10  REMOVED  Doraemon (character)
   55,702     58                7  kept     Rashomon
   55,675     83               11  kept     Islamic Golden Age
   55,673     52                9  kept     Auld Lang Syne
   55,642     62                6  kept     Ariadne
   55,616    154                5  kept     Laozi
   55,533     46                4  REMOVED  M (1931 film)
   55,519     66               15  REMOVED  A Night at the Opera (Queen album)
   55,414     98                8  kept     Garfield
   55,401    116               12  kept     Nobel Prize in Literature
   55,361     42                8  kept     Shangri-La
   55,337     64               10  REMOVED  Francis Bacon (artist)
   55,323    104                9  kept     Claude Debussy
   55,305     60                9  kept     Extended play
   55,294     39               15  kept     The Importance of Being Earnest
   55,276     82               11  REMOVED  Charlotte's Web
   55,265      9                7  REMOVED  Don Draper
   55,187    158               15  REMOVED  Gottfried Wilhelm Leibniz
   55,180     31               13  kept     The Treachery of Images
   55,167     33               11  REMOVED  The Rime of the Ancient Mariner
   55,142     40                5  kept     Elf (film)
   55,118     82               13  REMOVED  Christopher Marlowe
   55,115     80               10  kept     Rhea (mythology)
   55,101     76                7  REMOVED  Philip Roth
   55,096     33               11  kept     Storm (Marvel Comics)
   55,032     31                7  kept     Galactus
   55,031    140                5  kept     Ramadan
   55,029     91                6  kept     Sphinx
   54,965     57                9  kept     Oedipus Rex
   54,949     13               10  REMOVED  The New Colossus
   54,945     30               12  kept     The Sound of Music
   54,938     33               13  REMOVED  The Velvet Underground & Nico
   54,897     38                4  kept     Tekken
   54,883     47                6  REMOVED  Truffle
   54,845     51                5  kept     High Noon
   54,816     43               10  REMOVED  Moonrise Kingdom
   54,799     51                8  kept     Solaris (1972 film)
   54,777     39               10  REMOVED  Charles M. Schulz
   54,764     72               10  REMOVED  Langston Hughes
   54,742     45               14  REMOVED  SpongeBob SquarePants (character)
   54,698     42               14  kept     Pokémon Red, Blue, and Yellow
   54,682     96                4  kept     Pasta
   54,633     59                7  kept     The Shard
   54,585     26               15  REMOVED  The Binding of Isaac (video game)
   54,563    108               12  kept     The Communist Manifesto
   54,531     59               11  kept     Avengers (comics)
   54,527    112                5  kept     Sun Tzu
   54,515     37                7  kept     Necronomicon
   54,471     62               11  kept     Thus Spoke Zarathustra
   54,448     57                6  kept     Konami
   54,444     39                4  REMOVED  Qilin
   54,435     66               14  kept     Twenty Thousand Leagues Under the Seas
   54,353     35                7  kept     The Jetsons
   54,311     41               12  kept     Calvin and Hobbes
   54,271     71               14  kept     Reichstag building
   54,261     25                5  kept     Forza
   54,259    103               12  kept     Venus (mythology)
   54,219     75                5  kept     Tarzan
   54,202     77                8  kept     Booker Prize
   54,160     57               10  kept     Fantastic Four
   54,132     38               11  kept     Over the Rainbow
   54,123     49                6  kept     Fabergé egg
   54,108     35                6  REMOVED  La Haine
   54,068    119                7  kept     Chili pepper
   54,065     67                6  kept     Carmen
   53,984     60               10  kept     The School of Athens
   53,978     50                6  kept     Banshee
   53,969     39                6  kept     Run-DMC
   53,955     67                8  kept     Nazca lines
   53,925     62                5  kept     Aladdin
   53,919     62               15  kept     The Adventures of Tom Sawyer
   53,906     40               10  kept     The Wind in the Willows
   53,898    222                3  kept     Art
   53,807     35               16  REMOVED  A Sunday Afternoon on the Island of La Grande Jatte
   53,778     48                7  kept     Mardi Gras
   53,733     21                8  kept     Xbox (division)
   53,726     77                8  REMOVED  J. M. W. Turner
   53,720     52                8  REMOVED  Rick Riordan
   53,697     14                9  REMOVED  A Raisin in the Sun
   53,599     57               10  kept     Pippi Longstocking
   53,566     59                8  kept     Aesop's Fables
   53,531    101                6  kept     Whisky
   53,525     20               10  REMOVED  John Henry (folklore)
   53,505     90                8  kept     Snow White
   53,480    116                8  kept     Umberto Eco
   53,417     60               10  kept     Cogito, ergo sum
   53,411     63                6  kept     Pinocchio
   53,410     32               12  kept     Sekiro: Shadows Die Twice
   53,400     22                9  kept     Ebenezer Scrooge
   53,340    110                3  kept     Zen
   53,329    100                6  kept     Shamanism
   53,277     62               11  kept     The Jungle Book
   53,212     20                7  kept     Max Payne
   53,205     43               15  kept     Glastonbury Festival
   53,194    123                5  kept     Blues
   53,168     33               14  kept     Kingdom Hearts (video game)
   53,113     48                9  REMOVED  P. G. Wodehouse
   53,106     51                7  REMOVED  Turandot
   53,092     41                7  REMOVED  Emma (novel)
   53,066     80                6  kept     Delphi
   53,066     45                7  kept     Lancelot
   53,034     24                9  kept     The Son of Man
   52,958     61                9  kept     Music video
   52,947     38                4  kept     My Way
