5326 candidates, 5079 kept

 views/60d  langs  letters  status           title
     42230     87        9  kept             Fritz Haber
     42189     67        8  kept             Rare-earth element
     42165     84        3  kept             Mir
     42040     41       14  kept             Tragedy of the commons
     42017    172        6  kept             Phosphorus
     41938     36       15  kept             Chronology of the universe
     41918     64        9  kept             Butterfly effect
     41917     59        9  kept             Haber process
     41880     47       13  kept             Second Industrial Revolution
     41871    160        7  kept             Chromium
     41833    117        6  kept             Concrete
     41813    167        7  kept             Electron
     41788     50       12  kept             Pillars of Creation
     41768     73        8  kept             B. F. Skinner
     41757     96       10  kept             Matrix (mathematics)
     41703     98        8  kept             Linus Pauling
     41650    118       11  kept             Guglielmo Marconi
     41611     72        9  kept             Citric acid cycle
     41592    121       12  kept             Binomial nomenclature
     41571    150        7  kept             Plastic
     41535     75       10  kept             Ignaz Semmelweis
     41476    155        4  kept             Glass
     41455     86        8  kept             Homo habilis
     41422     83       10  kept             Light-emitting diode
     41416      2        6  kept             Kidney
     41398     72        5  kept             ENIAC
     41375     34        4  kept             REST
     41340     67       11  kept             Gestalt psychology
     41323     45       11  kept             Order of operations
     41310     31        6  kept             Endianness
     41299     73        8  kept             Grace Hopper
     41258    121        8  kept             State of matter
     41213     77        6  kept             Arcturus
     41199     81        6  kept             Torque
     41160     72        5  kept             Karst
     41151     76       16  kept             Cosmic microwave background
     41145     83        7  kept             Barcode
     41110     72        7  kept             Hello, world
     41073     52       14  kept             Margaret Hamilton (software engineer)
     40983    175        8  kept             Magnesium
     40910    158        6  kept             Manganese
     40910     25       16  kept             Singular value decomposition
     40795    115       11  kept             Special relativity
     40698     94       10  kept             Integrated circuit
     40671    140       11  kept             Complex number
     40615    121        7  kept             Ursa Major
     40563    152       11  kept             Johannes Kepler
     40525     67        4  kept             JPEG
     40523     43       11  kept             Central limit theorem
     40509    126        6  kept             SARS-CoV-2
     40494    195        6  kept             Medicine
     40491    151       11  kept             Programming language
     40463    126        8  kept             Motorcycle
     40355    136        8  kept             Electric current
     40346     76       12  kept             Trigonometric functions
     40311     59       13  kept             Proxima Centauri b
     40300    109        6  kept             Topology
     40181     67        9  kept             Euler's formula
     40144     69        9  kept             Daniel Kahneman
     40140    161        5  kept             Statistics
     40098     84        9  kept             Hexadecimal
     40095     78       12  kept             GNU General Public License
     40053     72       10  kept             Cumulonimbus cloud
     40011     63       12  kept             Laplace transform
     40002     34        4  kept             Fei-Fei Li
     39967     73        5  kept             Clade
     39957     71        6  kept             Maglev
     39934     10        8  kept             Sine and cosine
     39927    105       11  kept             Elementary particle
     39921    106        9  kept             Tycho Brahe
     39863    152        9  kept             Natural number
     39837     92        8  kept             Mangrove
     39784    123        6  kept             Protist
     39779    106        4  kept             Fern
     39645     69        6  kept             Pyrite
     39638     85       10  kept             Microwave oven
     39613     95        8  kept             Paleozoic
     39607     96        7  kept             Thyroid
     39530     36       11  kept             Bletchley Park
     39511     40        5  kept             Qualia
     39475     83        9  kept             Cybernetics
     39464    218        8  kept             Arctic Ocean
     39419     93        7  kept             Derivative
     39398    118       14  kept             Internal combustion engine
     39358     84       10  kept             Chemotherapy
     39328     65        8  kept             Cross product
     39212    124        5  kept             Dream
     39207    153        9  kept             Electronics
     39167     27        6  kept             Merkle tree
     39136    119       10  kept             Number theory
     39118     58       12  kept             Polytetrafluoroethylene
     39097    114        6  kept             Pierre Curie
     39086     65        7  kept             3D printing
     39047    117        6  kept             Methane
     39006     64        3  kept             IPv6
     38969     31       12  kept             A* search algorithm
     38943     30       11  kept             Fast Fourier transform
     38906    154        6  kept             Radium
     38900     48        6  kept             MOSFET
     38898    137        6  kept             Integer
     38880     28       13  kept             Log-normal distribution
     38864    109       10  kept             Random-access memory
     38846    157        5  kept             Proton
     38845     33        8  kept             Rogue wave
     38831     80        8  kept             Quaternary
     38735     34       13  kept             Convolutional neural network
     38733     61       10  kept             Solid-state drive
     38667     80        7  kept             Viscosity
     38649    212        4  kept             Blood
     38638     61        6  kept             Tensor
     38619     76       11  kept             Information theory
     38587    188        5  kept             Desert
     38571     30       10  kept             Alcubierre drive
     38538     98        6  kept             Triton (moon)
     38528     99        2  under 3 letters  CSS
     38491    100        9  kept             Cryptography
     38485    188        7  kept             Geometry
     38480    118        9  kept             Transformer
     38446    137        3  kept             Dam
     38420     66       16  kept             Second law of thermodynamics
     38387    135        8  kept             Refrigerator
     38384    126       12  kept             Circulatory system
     38362    204        5  kept             Cloud
     38361     62       11  kept             Hilbert space
     38340     69       10  kept             Perfect number
     38333    114        3  kept             Watt
     38278     99        9  kept             Hemoglobin
     38234    202        4  kept             Color
     38199     89        7  kept             Credit card
     38175     44        5  kept             CRISPR
     38119    105        3  kept             Data
     38104     61       11  kept             Cathode ray tube
     38094     40       14  kept             Exponential distribution
     38082    107       11  kept             Richard Stallman
     38046     76        4  kept             COBOL
     38039    157        6  kept             Nickel
     37947     74        7  kept             Diesel engine
     37931     55        9  kept             Skeletal muscle
     37901    101       13  kept             Incandescent light bulb
     37850     75       10  kept             Avogadro constant
     37841    109        7  kept             Granite
     37790     79        9  kept             Silicon dioxide
     37765     66        6  kept             ARPANET
     37753     61       10  kept             High-speed rail
     37741     79       10  kept             Euclid's Elements
     37732     74        7  kept             Phonograph
     37728    108        6  kept             Database
     37719    107        5  kept             Neuron
     37708     98       10  kept             Mechanical engineering
     37613     41       11  kept             Levenshtein distance
     37611     99        5  kept             Insulin
     37570     43       10  kept             Wright Flyer
     37541     73       12  kept             Polyvinyl chloride
     37510     58        9  kept             Great Red Spot
     37436     63       10  kept             Bose–Einstein condensate
     37404     80        6  kept             Malware
     37395     57        8  kept             Manifold
     37341    127       12  kept             Function (mathematics)
     37308     27        3  kept             SHA-2
     37276     66        6  kept             Metastasis
     37223    151        8  kept             Influenza
     37183     46       14  kept             Field-programmable gate array
     37174     84        6  kept             Phenol
     37149     51       13  kept             Age of the universe
     37143     43        9  kept             Newton's method
     37126     54       12  kept             Command-line interface
     37108     43        6  kept             Six Sigma
     37078     50        8  kept             Vint Cerf
     37075     69        6  kept             Skylab
     37039     65       13  kept             Graphics processing unit
     37020    106        6  kept             Tundra
     37017     59        8  kept             Heuristic
     36931     41       13  kept             Multi-factor authentication
     36921     54        4  kept             ITER
     36914     99        8  kept             Semantics
     36893    110        8  kept             Childbirth
     36874    185        5  kept             Comet
     36855     43        8  kept             Convolution
     36813    183        5  kept             Train
     36775    159        9  kept             Dmitri Mendeleev
     36763     55       15  kept             Public-key cryptography
     36748     53       14  roundup page     List of programming languages
     36729    136        6  kept             Satellite
     36617     91        7  kept             Estuary
     36576     28       13  kept             Six degrees of separation
     36563     78        8  kept             Haemophilia
     36522     86        9  kept             Maryam Mirzakhani
     36471     77        6  kept             Caldera
     36465     70        6  kept             Space Race
     36461    121        5  kept             Infinity
     36458    142       10  kept             Ernest Rutherford
     36414    119       11  kept             Magnetic field
     36393     72        9  kept             Millau Viaduct
     36376     80       14  kept             Kernel (operating system)
     36368     90       11  kept             Pituitary gland
     36359    101        4  kept             Savanna
     36324     25       15  not science      Betteridge's law of headlines
     36307     44       11  kept             Poincaré conjecture
     36303    188        7  kept             Telephone
     36226     20        2  under 3 letters  IEEE 754
     36211     34       11  kept             Sigmoid function
     36192     69        6  kept             Endemism
     36153     58       14  kept             Computer-aided design
     36134     67        7  kept             BitTorrent
     36127     41       10  kept             Fujita scale
     36114    103        8  kept             Cholesterol
     36053    100        7  kept             Max Born
     36047     34       11  kept             Theory of mind
     36020     32        5  kept             RISC-V
     36012    110       13  kept             Nobel Prize in Physics
     35995    186        6  kept             Bicycle
     35984     43       12  kept             Reinforcement learning
     35944    104        8  kept             Natural gas
     35906    113        8  kept             Invertebrate
     35883     20       14  kept             Post-quantum cryptography
     35768    100        7  kept             Equinox
     35732    164        8  kept             Asteroid
     35649    123       11  kept             Kingdom (taxonomy)
     35618     67       10  kept             Rings of Saturn
     35599     80       10  kept             Absolute zero
     35562     95        7  kept             Robert Hooke
     35550     41       16  kept             Laws of thermodynamics
     35537    147        4  kept             Soap
     35535     57       10  kept             Expected value
     35529     70        8  kept             Determinant
     35485     42        8  kept             Turbofan
     35474    104        8  kept             Mole (unit)
     35472     55        7  kept             Big Dipper
     35429    109       12  kept             Electromagnetism
     35398     68       12  kept             Open-source software
     35385     81        4  kept             Mica
     35384     97        7  kept             Parasitism
     35364     54        1  under 3 letters  X86
     35348     28       10  kept             Temporal paradox
     35310    165        5  kept             Argon
     35293     75       12  kept             Cartesian coordinate system
     35267     74       10  kept             Jennifer Doudna
     35233     52       11  kept             Guido van Rossum
     35231     73       13  kept             Natural language processing
     35206    120        7  kept             Astronaut
     35198    129        9  kept             Hard disk drive
     35181     34        9  kept             Idempotence
     35098     81       10  kept             Gulf Stream
     35082    103        9  kept             Echinoderm
     35056    109       14  kept             Alexander von Humboldt
     34992     57       14  kept             Alexander Grothendieck
     34956     35       11  kept             Benford's law
     34949     68        8  kept             Open source
     34941     93        8  kept             Dynamite
     34917     36       14  kept             Many-worlds interpretation
     34864    125       13  kept             Human digestive system
     34858     85        8  kept             Factorial
     34837     59        8  kept             Caesar cipher
     34819     49       12  kept             Nash equilibrium
     34793     87        6  kept             Sucrose
     34788     80        5  kept             Ethernet
     34737    102        9  kept             Binary number
     34736    133       10  kept             Family (taxonomy)
     34729     69        8  kept             Atomic clock
     34688     81        9  kept             Supercomputer
     34651     84        6  kept             Fortran
     34603     36       12  kept             Matrix multiplication
     34601     84        9  kept             Porcelain
     34596    121       10  kept             Lunar eclipse
     34565     88       11  kept             Pasteurization
     34564     52        9  kept             Parker Solar Probe
     34543    101       10  kept             Psychoanalysis
     34502     31        7  kept             Andrew Ng
     34479     56       11  kept             Hawking radiation
     34469     68        9  kept             Hybrid (biology)
     34396     74       11  kept             Gravitational constant
     34378     69        8  kept             Michio Kaku
     34372     54       10  kept             Euler's identity
     34366     76        3  kept             GNU
     34355     40        5  kept             Apple II
     34355     47       11  kept             Infinite monkey theorem
     34337     94        7  kept             Polymer
     34309     65       15  kept             Quantum field theory
     34242     68        7  kept             Graphene
     34231     74        9  kept             Graph theory
     34198     32       10  kept             Shor's algorithm
     34163    121        7  not science      Inflation
     34155     79        3  kept             XML
     34125     41       12  kept             Black-body radiation
     34124    121       11  kept             Astronomical unit
     34121    112        7  kept             Phobos (moon)
     34086     42       10  kept             Fusion power
     34053     96        8  kept             Integral
     34043    103       11  kept             European Space Agency
     34036     87        7  kept             Adrenaline
     34018    103        9  kept             Drainage basin
     33965     87       11  kept             Software engineering
     33911     79        8  kept             Coriolis force
     33910    112       11  kept             Nuclear fission
     33901     35        5  kept             Amoeba
     33896     49       13  kept             Cambrian explosion
     33866     57        7  kept             Windows NT
     33836    109        9  kept             Electrical engineering
     33830     49        7  kept             Cryonics
     33828    138        7  kept             Glacier
     33799     59       10  kept             Circadian rhythm
     33742     84        8  kept             Metric system
     33734     74        8  kept             Mohs scale
     33696     39       13  kept             Neuroplasticity
     33683    135       10  kept             Nervous system
     33673     54       10  kept             RSA cryptosystem
     33669    105        8  kept             Skyscraper
     33660     91        8  kept             Enceladus
     33650     46       11  kept             Anthropic principle
     33524     72        8  kept             Brown dwarf
     33503     46       12  kept             Dirac delta function
     33479    146        6  kept             Emotion
     33451     59        3  kept             PNG
     33450     72        9  kept             Brownian motion
     33416     70       10  kept             Simple machine
     33407     52       12  kept             Pyroclastic flow
     33393     22       10  kept             Rainbow table
     33377     79        6  kept             Knot (unit)
     33342     74        6  kept             Antares
     33337     72       12  kept             Printed circuit board
     33322     76       12  kept             Intellectual property
     33318     68        9  kept             RGB color model
     33281     44        7  kept             PageRank
     33259    116        5  kept             Fossil
     33216    117        7  kept             Fibonacci
     33216     41        8  kept             TypeScript
     33211     95       10  kept             Alternating current
     33200    110       10  kept             Antoine Lavoisier
     33163     73        7  latin name       Ammonoidea
     33107     92       14  kept             Newton's law of universal gravitation
     33101     88        9  kept             Nuclear reactor
     33019     67       10  kept             Autoimmune disease
     32996     99        5  kept             Ellipse
     32927     30        9  kept             Stockfish (chess)
     32873    161        5  kept             Radio
     32839     57       10  kept             Curiosity (rover)
     32832     45        8  kept             Lambda calculus
     32813     92        4  kept             Crux
     32795     36        6  kept             DevOps
     32792    121        9  kept             Renewable energy
     32775     69        8  kept             Logic gate
     32759     22        7  kept             HSL and HSV
     32743     55        3  kept             IPv4
     32719    102        5  kept             Gamma ray
     32691    103        3  kept             Moss
     32675     50        7  kept             MAC address
     32667    102        8  kept             Linear algebra
     32660     58        8  kept             Epigenetics
     32638     95        4  kept             Byte
     32589    177        5  kept             Disease
     32588     65        9  kept             Kip Thorne
     32587     50        8  kept             Wankel engine
     32575     68        5  kept             MySQL
     32574     93        7  kept             Coral reef
     32536     60       13  kept             Linguistic relativity
     32533     20       13  roundup page     Timeline of historic inventions
     32527     64       11  kept             Natural logarithm
     32523    110       10  kept             Asteroid belt
     32507     80        8  kept             Alexei Leonov
     32495     46        8  kept             Natural rubber
     32452     40        6  kept             P-value
     32422     72        4  kept             Nylon
     32422     95        7  kept             Plankton
     32419     72       10  kept             Boltzmann constant
     32321     54       12  kept             Rayleigh scattering
     32288     44        6  kept             Turboprop
     32287     52        9  kept             Galactic Center
     32270     51        6  kept             Amygdala
     32239     20       11  kept             Softmax function
     32226     84       11  kept             Lymphatic system
     32212     45        8  kept             Twin prime
     32167     46       11  kept             Los Alamos National Laboratory
     32120    121        7  kept             Infrared
     32096     86       13  kept             Subrahmanyan Chandrasekhar
     32091     90        9  kept             Virtual reality
     32023    134        7  kept             Antibiotic
     31953     30       10  kept             Last Glacial Maximum
     31952     55       10  kept             Falcon Heavy
     31912    122        6  kept             Free will
     31897     70       11  kept             Bacteriophage
     31885     85        7  kept             Anesthesia
     31862     28        7  kept             Amdahl's law
     31816     43        9  kept             Linear regression
     31755     83       12  kept             Visible spectrum
     31728    166        6  kept             Second
     31724     78        9  kept             Telegraphy
     31709     71        5  kept             Torus
     31705     46       12  kept             Exponential function
     31672     71        7  kept             Arduino
     31617    124        6  kept             Vitamin
     31587     80        9  kept             Coulomb's law
     31567     40        8  kept             Zipf's law
     31561     95       10  kept             Manufacturing
     31558     98        8  kept             Electric motor
     31540     25       16  kept             Hard problem of consciousness
     31520     55       10  kept             Hash function
     31514     40        6  kept             Student's t-test
     31435     87        9  kept             Pascal (unit)
     31413    248        4  kept             River
     31368    165        4  kept             Wheel
     31329     68        6  kept             Median
     31285     65       11  kept             Reynolds number
     31262     80        9  kept             Donald Knuth
     31235     85        3  kept             Sense
     31192     64       14  latin name       Drosophila melanogaster
     31175     20        9  kept             Bloom filter
     31158    119        5  kept             Screw
     31150     77       12  kept             On the Origin of Species
     31138    139       10  kept             Carbohydrate
     31138     27       10  kept             Logistic regression
     31119     63       12  kept             Augmented reality
     31116    101        6  kept             Momentum
     31090    109        8  kept             Prokaryote
     31070     63       11  kept             Van Allen radiation belt
     31048     42       14  kept             Travelling salesman problem
     30951     62       12  kept             Cache (computing)
     30946     59        7  kept             Necrosis
     30916    104        6  kept             Marble
     30911     28        7  kept             Sunk cost
     30900     80       11  kept             Internet protocol suite
     30894     50       11  kept             Theory of everything
     30882     86        4  kept             Mold
     30873     75        6  kept             Quantum
     30856    115        5  kept             Pressure
     30854     59       14  kept             Denial-of-service attack
     30829    124       10  kept             Nuclear power
     30822    123       11  kept             Biotechnology
     30817    120        8  kept             Real number
     30729     63       10  kept             Low Earth orbit
     30714     58       15  kept             Goldbach's conjecture
     30675     77        8  kept             Tetrahedron
     30667    117        5  kept             Galen
     30632    132       13  kept             Thermodynamics
     30591    108        8  kept             Set (mathematics)
     30559     62        8  kept             Invasive species
     30534    108        7  kept             Thunder
     30533     90        8  kept             Civil engineering
     30522    121       11  kept             Telecommunications
     30496     49        9  kept             Scientific notation
     30443    157        4  kept             Clock
     30432    111        7  kept             Pollution
     30405     60        9  kept             Hippocampus
     30398     65        6  kept             Toluene
     30392     80       10  kept             Cassini–Huygens
     30388     85        7  kept             Micrometre
     30348     71       11  kept             Binomial theorem
     30340     96        5  kept             Hertz
     30333     75        6  kept             Diatom
     30295     74        9  kept             Georges Lemaître
     30281     93        8  kept             Graphite
     30264     74       11  kept             Cardiovascular disease
     30263    118       11  kept             Thales of Miletus
     30237     53       10  kept             Classical conditioning
     30220     91        7  kept             Empiricism
     30176     39       10  kept             Student's t-distribution
     30166     69        6  kept             Sextant
     30085     47       13  kept             Programmable logic controller
     30084     44       10  kept             Finite-state machine
     30069     78        8  kept             Neuroscience
     30066     64       15  kept             John McCarthy (computer scientist)
     30028     45       10  kept             Radioactive decay
     30025     35       10  kept             Two's complement
     30022     74        8  kept             Vacuum tube
     30012     57       10  kept             Piezoelectricity
     29983     45       12  kept             Confidence interval
     29980    172        9  kept             Archaeology
     29948     85        7  kept             Calorie
     29910     73        8  kept             Astrolabe
     29866     40       12  kept             Fight-or-flight response
     29825     27        7  kept             Single sign-on
     29807     40       11  kept             Chi-squared test
     29781    178        6  kept             Calcium
     29771    178        3  kept             Neon
     29764     43        9  kept             Ethanol fuel
     29763    183        6  kept             Ecology
     29711     66        9  kept             CMYK color model
     29661     82       12  kept             File Transfer Protocol
     29626     64        9  kept             Andrew Wiles
     29615    123        7  kept             Set theory
     29609     90       11  kept             Quadratic equation
     29596    157        5  kept             Force
     29578    115        8  kept             Materialism
     29571    174        6  kept             Anatomy
     29569    177        4  kept             Paper
     29528    128        8  kept             Noble gas
     29477     72        8  kept             Local Group
     29459     68       11  kept             Anxiety disorder
     29445     81        7  kept             Estrogen
     29438    105        7  kept             Cosmology
     29420     82       10  kept             Photoelectric effect
     29400     86        8  kept             Emmy Noether
     29370    111        6  kept             Surgery
     29339     42       10  kept             Maxwell's demon
     29273     73       10  kept             Paris Agreement
     29271     53       15  kept             Spherical coordinate system
     29271     57        7  kept             White hole
     29251     56       11  kept             Bjarne Stroustrup
     29246     89       11  kept             Optical fiber
     29244     48       11  kept             Binomial coefficient
     29172     44        8  kept             Tessellation
     29166     67        7  kept             Fourier series
     29128     74       12  kept             Scientific Revolution
     29123     55       11  kept             Drake equation
     29110    233        4  kept             Rain
     29107     70        8  kept             Polyethylene
     29104     57       14  kept             Faraday's law of induction
     29095     43       10  kept             SQL injection
     29045     57       12  kept             Laniakea Supercluster
     29021     71        8  kept             Determinism
     29007    146        9  kept             Trigonometry
     29005    113        7  kept             Crystal
     28969     86       15  kept             Kepler's laws of planetary motion
     28922     93        8  kept             Jean Piaget
     28910    100        9  kept             Kinetic energy
     28896    115        7  kept             Omar Khayyam
     28878     49       12  kept             Network address translation
     28873     68        8  kept             Boolean algebra
     28868     36       11  kept             Great Oxidation Event
     28854     29       10  kept             Logistic function
     28841    140        7  kept             Genetics
     28820    104        4  kept             Tide
     28808    118        7  kept             Ecosystem
     28803    106       10  kept             Biodiversity
     28792     75        7  kept             Spin (physics)
     28764    136        9  kept             Computer mouse
     28729    146        7  kept             James Watt
     28722     34        4  kept             ACID
     28706    100        9  kept             Callisto (moon)
     28695    134       10  kept             David Hilbert
     28681     63       10  kept             Flash memory
     28668    122        7  kept             Chromosome
     28665     43        8  kept             Covariance
     28653     67        6  kept             G. H. Hardy
     28643     36        9  kept             Vigenère cipher
     28618     57        7  kept             Silicone
     28578     61        7  kept             Gas constant
     28575     45       12  kept             Model–view–controller
     28573    137        9  kept             Metabolism
     28543     63        9  kept             Perseverance (rover)
     28535     48       11  kept             Dynamic random-access memory
     28498     52        8  kept             Edward Witten
     28498     88       12  kept             William Shockley
     28470     32        9  kept             Voronoi diagram
     28449     74        9  kept             Ionizing radiation
     28423     92        4  kept             Boson
     28409     96        9  kept             James Watson
     28404     90        6  kept             Cyclone
     28382     50        6  kept             Kevlar
     28376     27        8  kept             Solar panel
     28367     77        9  kept             Particle accelerator
     28328     69        9  kept             Moment of inertia
     28320     43       11  kept             Fine-structure constant
     28291     42       16  kept             Hydrostatic equilibrium
     28286     38       11  kept             Chomsky hierarchy
     28277     68        9  kept             Turing Award
     28276     95        8  kept             Free software
     28270     51       11  kept             Triangular number
     28221     35       14  kept             Support vector machine
     28212    119        5  kept             Ampere
     28208     98        6  kept             Starch
     28183     28        8  kept             WebSocket
     28174     31       14  kept             Zermelo–Fraenkel set theory
     28160     48       11  kept             Nicotinamide adenine dinucleotide
     28155     56        9  kept             Ethylene glycol
     28140     33       11  kept             Yoshua Bengio
     28127     79        7  kept             Azimuth
     28123     89       10  kept             Cassiopeia (constellation)
     28106    100       11  kept             Natural selection
     28063     45        8  kept             Bézier curve
     28061     27       10  kept             Gradient descent
     28040     75        8  kept             Feldspar
     28015     71        5  kept             Roscosmos
     28008     84        9  kept             Dennis Ritchie
     28007     22       10  kept             Abstract syntax tree
     27987     81        7  kept             Positivism
     27975     34       11  kept             Man-in-the-middle attack
     27960     67       10  kept             Supercontinent
     27957     32        5  kept             Minimax
     27952     88        9  kept             Blood pressure
     27909     25       11  kept             Certificate authority
     27900     56        9  kept             Anthropocene
     27894    100       10  kept             White blood cell
     27878     68        3  kept             SVG
     27853     59       11  kept             Blast furnace
     27848     36       13  kept             Halting problem
     27844     94        8  kept             Radio wave
     27839    170        3  kept             Mass
     27830     67       11  kept             Pascal's triangle
     27801     70        7  kept             Logistics
     27781     55       11  kept             Sorting algorithm
     27756    114       10  kept             Respiratory system
     27690    171        8  kept             Arithmetic
     27666     79       11  kept             Satyendra Nath Bose
     27621    111        6  kept             Aircraft
     27586     48        4  kept             OLED
     27543     13        6  kept             Whale fall
     27502     39        7  kept             Sonic boom
     27491    173        8  kept             Fluorine
     27479     64       12  kept             Foucault pendulum
     27450     26       11  kept             Backpropagation
     27442     53       11  kept             Quantum gravity
     27435     58        7  kept             Jet stream
     27400     34       13  kept             Runge–Kutta methods
     27361     59       13  kept             User Datagram Protocol
     27342     64        7  kept             Human eye
     27329     56        9  kept             Hot air balloon
     27304     73        8  kept             Abel Prize
     27302     60        9  kept             Venn diagram
     27289     55        9  kept             Speech synthesis
     27270     40       14  kept             Chi-squared distribution
     27172     47       10  kept             Arecibo message
     27167     28        7  kept             AlphaFold
     27166    146        5  kept             Enzyme
     27154     66        8  kept             Ideal gas law
     27152     41       12  kept             Quantum superposition
     27149     17       12  kept             Attention (machine learning)
     27138     13       13  kept             Cache replacement policies
     27126     39       12  kept             Daemon (computing)
     27122     60       12  kept             Optical character recognition
     27086    110        5  kept             Axiom
     27078     93        7  kept             Intelligence
     27069     46        8  kept             Klein bottle
     27036    122        5  kept             Glasses
     27033     62        9  kept             Polystyrene
     27032     61       10  kept             Platonic solid
     27010     72       12  kept             Fluid mechanics
     26995     31       13  kept             Germ theory of disease
     26981     49       11  kept             Steganography
     26930     70       11  kept             Refractive index
     26902     78       13  kept             Ludwig Boltzmann
     26885    123        8  kept             Physiology
     26824    181        4  kept             Lung
     26809     65        8  kept             Gradient
     26781     92        4  kept             Tonne
     26780     99        8  kept             Square root
     26767     58        7  kept             Aquifer
     26764    158        8  kept             Kilogram
     26746     45        5  kept             Qubit
     26722     54       13  kept             Law of large numbers
     26706     62       11  kept             Convergent evolution
     26705     21        7  kept             Duct tape
     26700     28       13  kept             K-means clustering
     26667     55       12  kept             Gravitational singularity
     26666     85        4  kept             Perl
     26665     53       12  kept             Computer numerical control
     26663     52       15  kept             Science, technology, engineering, and mathematics
     26641     49       10  kept             Russell's paradox
     26614    104        9  kept             Microphone
     26603     38        8  kept             Noether's theorem
     26594    106        5  kept             Memory
     26559    159        8  kept             Rock (geology)
     26554     31        7  kept             Flynn effect
     26547     58        9  kept             Marvin Minsky
     26525     81        9  kept             Vector space
     26520     41       11  kept             Portland cement
     26502     59        6  kept             Game engine
     26486     48        2  under 3 letters  MD5
     26480     22       13  kept             Receiver operating characteristic
     26469     98        8  kept             Inflammation
     26453     55       10  kept             L'Hôpital's rule
     26444     56        5  kept             Tokamak
     26440     37        8  kept             Proprioception
     26417     42       16  kept             Cumulative distribution function
     26411     89        5  kept             BASIC
     26406    193        7  kept             Calendar
     26405    184        6  kept             Botany
     26385     86       10  kept             Vascular plant
     26371     87       10  kept             Royal Society
     26350     32        3  kept             GPT-3
     26331     77       14  kept             Graphical user interface
     26314     61       13  kept             Simple Mail Transfer Protocol
     26305    133        5  kept             Urine
     26303     79        4  kept             Ether
     26302     82        8  kept             Homeostasis
     26288     38        6  kept             MongoDB
     26238     61       10  kept             Acetylcholine
     26219     60       10  kept             Satellite navigation
     26188     68        9  kept             Sustainability
     26161    148        7  kept             Mineral
     26143     55       10  kept             Regression analysis
     26117     88        7  kept             Hexagon
     26116    123        4  kept             Diode
     26098     40       10  kept             Root mean square
     26091     43       11  kept             Lagrangian mechanics
     26029     25        5  kept             Redis
     26028     49       11  kept             Dirac equation
     26023    115        7  kept             Newton (unit)
     26001     23       12  kept             BERT (language model)
     25990     90        9  kept             Rationalism
     25965    102        3  kept             Lava
     25896     38       11  kept             Instruction set architecture
     25895    114        6  kept             Polygon
     25870     68        4  kept             BIOS
     25861    136        4  kept             Mirror
     25858     74        6  kept             Red dwarf
     25857     79        4  kept             Ester
     25841     57       13  kept             Functional programming
     25835    101        7  kept             Edward Jenner
     25831     39       10  kept             Enriched uranium
     25824    112        4  kept             Taste
     25810     76       12  kept             Liquid-crystal display
     25802     53       12  kept             Three-phase electric power
     25787     65        9  kept             Atomic orbital
     25787     57       12  kept             Self-driving car
     25783     83        8  kept             Polynomial
     25779     49       14  kept             Expansion of the universe
     25769     92        6  kept             Cellulose
     25756    118        6  kept             Rocket
     25728     19       12  kept             Confusion matrix
     25710    121        9  kept             Electric charge
     25667     31        9  kept             Bell's theorem
     25606    106        7  kept             Fertilizer
     25605     36        4  acronym only     SCADA
     25598     36       10  kept             Signal-to-noise ratio
     25559     47       14  kept             Rapid eye movement sleep
     25545     88        8  kept             Redshift
     25529     53        7  kept             Open access
     25511     62       13  kept             Radio-frequency identification
     25489     66       14  kept             Earth's magnetic field
     25478     74       10  kept             Radiocarbon dating
     25468     79       13  kept             Fundamental interaction
     25452     84        6  kept             Symbiosis
     25445    168        4  kept             Bone
     25421     30       10  kept             Macintosh 128K
     25409    112        7  kept             Fossil fuel
     25408    146        5  kept             Circle
     25406     37       11  kept             Boston Dynamics
     25401     95        6  kept             Ceramic
     25376    123        4  kept             Alloy
     25372     39       10  kept             Quartz clock
     25371     87        7  kept             Robotics
     25314    132        8  kept             Frequency
     25274     99        6  kept             Annelid
     25235     51        4  kept             RAID
     25222     83        7  kept             Ionic bonding
     25187     67        8  kept             Hubble's law
     25172     70        8  kept             Hooke's law
     25167     77       10  kept             Psychotherapy
     25161     74        5  kept             Meiosis
     25151     13        6  kept             F-score
     25142     74       11  kept             Gravitational wave
     25126     65        7  kept             Stalactite
     25082     44        7  kept             Reverse engineering
     25013    110        5  kept             Sphere
     24986     89        6  kept             Parabola
     24976     39       12  kept             Population bottleneck
     24935    101        9  kept             Wavelength
     24934     95        8  kept             Carnivore
     24933     47       14  kept             Floating-point arithmetic
     24927     64        8  kept             Vera Rubin
     24926     58        9  kept             Desalination
     24914     59       10  kept             Freeman Dyson
     24913     30       12  kept             Test-driven development
     24911    146        4  kept             Soil
     24884     53       16  kept             Probability density function
     24870    121        3  kept             Ion
     24844     51        8  kept             Electric vehicle
     24829     32       10  kept             Simpson's paradox
